movieID,actorID,actorName,ranking
1,tom_hanks,Tom Hanks,1
1,tim_allen,Tim Allen,2
1,don_rickles,Don Rickles,3
1,jim_varney,Jim Varney,4
1,wallace_shawn,Wallace Shawn,5
1,jack_angel,Jack Angel,6
1,sherry_lynn,Sherry Lynn,7
1,laurie_metcalf,Laurie Metcalf,8
1,patrick_pinney,Patrick Pinney,9
1,annie_potts,Annie Potts,10
3,jack_lemmon,Jack Lemmon,1
3,walter_matthau,Walter Matthau,2
3,annmargret,Ann-Margret,3
3,burgess_meredith,Burgess Meredith,4
3,daryl_hannah,Daryl Hannah,5
3,kevin_pollak,Kevin Pollak,6
3,ossie_davis,Ossie Davis,7
3,buck_henry,Buck Henry,8
3,christopher_mcdonald,Christopher McDonald,9
3,joe_howard,Joe Howard,10
4,whitney_houston,Whitney Houston,1
4,angela_bassett,Angela Bassett,2
4,loretta_devine,Loretta Devine,3
4,lela_rochon,Lela Rochon,4
4,gregory_hines,Gregory Hines,5
4,dennis_haysbert,Dennis Haysbert,6
4,michael_beach,Michael Beach,7
4,wren_t_brown,Wren T. Brown,8
4,starletta_dupois,Starletta DuPois,9
4,giancarlo_esposito,Giancarlo Esposito,10
6,al_pacino,Al Pacino,1
6,robert_de_niro,Robert De Niro,2
6,val_kilmer,Val Kilmer,3
6,jon_voight,Jon Voight,4
6,tom_sizemore,Tom Sizemore,5
6,diane_venora,Diane Venora,6
6,amy_brenneman,Amy Brenneman,7
6,ashley_judd,Ashley Judd,8
6,mykelti_williamson,Mykelti Williamson,9
6,ted_levine,Ted Levine,10
7,humphrey_bogart,Humphrey Bogart,1
7,audrey_hepburn,Audrey Hepburn,2
7,william_holden,William Holden,3
7,walter_hampden,Walter Hampden,4
7,1016736-john_williams,John Williams (II),5
7,francis_x_bushman_jr,Francis X. Bushman,6
7,martha_hyer,Martha Hyer,7
7,joan_vohs,Joan Vohs,8
7,marcel_dalio,Marcel Dalio,9
7,marcel_hillaire,Marcel Hillaire,10
8,jonathan_taylor_thomas,Jonathan Taylor Thomas,1
8,brad_renfro,Brad Renfro,2
8,eric_schweig,Eric Schweig,3
8,charles_rocket,Charles Rocket,4
8,amy_wright,Amy Wright,5
8,michael_mcshane,Michael McShane,6
8,lanny_flaherty,Lanny Flaherty,7
8,kellen_hathaway,Kellen Hathaway,8
8,heath_lamberts,Heath Lamberts,9
8,peter_mackenzie,Peter Mackenzie,10
9,jeanclaude_van_damme,Jean-Claude Van Damme,1
9,powers_boothe,Powers Boothe,2
9,raymond_j_barry,Raymond J. Barry,3
9,whittni-wright,Whittni Wright,4
9,ross_malinger,Ross Malinger,5
9,dorian_harewood,Dorian Harewood,6
9,steve_aronson,Steve Aronson,7
9,michael_r_aubele,Michael R. Aubele,8
9,karen-baldwin,Karen Baldwin,9
9,pat_brisson,Pat Brisson,10
14,anthony_hopkins,Anthony Hopkins,1
14,joan_allen,Joan Allen,2
14,powers_boothe,Powers Boothe,3
14,ed_harris,Ed Harris,4
14,bob_hoskins,Bob Hoskins,5
14,eg_marshall,E.G. Marshall,6
14,julie-araskog,Julie Araskog,7
14,brian_bedford,Brian Bedford,8
14,tony_lo_bianco,Tony Lo Bianco,9
14,bill_bolender,Bill Bolender,10
15,geena_davis,Geena Davis,1
15,matthew_modine,Matthew Modine,2
15,frank_langella,Frank Langella,3
15,maury_chaykin,Maury Chaykin,4
15,patrick_malahide,Patrick Malahide,5
15,stan_shaw,Stan Shaw,6
15,christopher_adamson,Christopher Adamson,7
15,ken_bones,Ken Bones,8
15,roger_booth,Roger Booth,9
15,carl_chase,Carl Chase,10
16,robert_de_niro,Robert De Niro,1
16,sharon_stone,Sharon Stone,2
16,joe_pesci,Joe Pesci,3
16,james_woods,James Woods,4
16,don_rickles,Don Rickles,5
16,alan_king,Alan King,6
16,kevin_pollak,Kevin Pollak,7
16,1019197-john_bloom,Joe Bob Briggs,8
16,dick_smothers,Dick Smothers,9
16,frank_adonis,Frank Adonis,10
19,jim_carrey,Jim Carrey,1
19,ian_mcneice,Ian McNeice,2
19,simon_callow,Simon Callow,3
19,maynard-eziashi,Maynard Eziashi,4
19,bob_gunton,Bob Gunton,5
19,sophie_okonedo,Sophie Okonedo,6
19,tommy_davidson,Tommy Davidson,7
19,dev_kennedy,Dev Kennedy,8
19,michael_reid_mackay,Michael Reid Mackay,9
19,bruce_spence,Bruce Spence,10
21,john_travolta,John Travolta,1
21,gene_hackman,Gene Hackman,2
21,rene_russo,Rene Russo,3
21,danny_devito,Danny DeVito,4
21,dennis_farina,Dennis Farina,5
21,delroy_lindo,Delroy Lindo,6
21,james_gandolfini,James Gandolfini,7
21,david_paymer,David Paymer,8
21,bette_midler,Bette Midler,9
21,patrick_breen,Patrick Breen,10
22,sigourney_weaver,Sigourney Weaver,1
22,holly_hunter,Holly Hunter,2
22,dermot_mulroney,Dermot Mulroney,3
22,william_mcnamara,William McNamara,4
22,will_patton,Will Patton,5
22,harry_connick_jr,Harry Connick Jr.,6
22,bill-bonham,Bill Bonham,7
22,terry_brown,Terry Brown,8
22,james_cunningham,James Cunningham,9
22,je_freeman,J.E. Freeman,10
24,mary_steenburgen,Mary Steenburgen,1
24,sean_patrick_flanery,Sean Patrick Flanery,2
24,lance_henriksen,Lance Henriksen,3
24,jeff_goldblum,Jeff Goldblum,4
24,brandon_smith,Brandon Smith (I),5
24,bradford_tatum,Bradford Tatum,6
24,susan_tyrrell,Susan Tyrrell,7
24,woody_watson,Woody Watson,8
24,ray_wise,Ray Wise,9
24,missy_crider,Missy Crider,10
25,nicolas_cage,Nicolas Cage,1
25,elisabeth_shue,Elisabeth Shue,2
25,julian_sands,Julian Sands,3
25,1009134-richard_lewis,Richard Lewis,4
25,valeria_golino,Valeria Golino,5
25,graham_beckel,Graham Beckel,6
25,kim_adams,Kim Adams,7
25,susan_barnes,Susan Barnes,8
25,xander_berkeley,Xander Berkeley,9
25,michael_goorjian,Michael A. Goorjian,10
26,laurence_fishburne,Laurence Fishburne,1
26,irene_jacob,Irène Jacob,2
26,kenneth_branagh,Kenneth Branagh,3
26,nathaniel_parker,Nathaniel Parker,4
26,michael_maloney,Michael Maloney,5
26,anna_patrick,Anna Patrick,6
26,nicholas_farrell,Nicholas Farrell,7
26,gabriele_ferzetti,Gabriele Ferzetti,8
26,philip_locke,Philip Locke,9
26,john_savident,John Savident,10
28,amanda_root,Amanda Root,1
28,ciaran_hinds,Ciarán Hinds,2
28,susan_fleetwood,Susan Fleetwood,3
28,david_collings,David Collings,4
28,judy_cornwell,Judy Cornwell,5
28,felicity-dean,Felicity Dean,6
28,roger_hammond,Roger Hammond,7
28,lonnie_james,Lonnie James,8
28,phoebe_nicholls,Phoebe Nicholls,9
28,corin_redgrave,Corin Redgrave,10
29,ron_perlman,Ron Perlman,1
29,daniel-emifork,Daniel Emilfork,2
29,judith-vittet,Judith Vittet,3
29,dominique_pinon,Dominique Pinon,4
29,jeanclaude_dreyfus,Jean-Claude Dreyfus,5
29,genevieve_brunet,Genevieve Brunet,6
29,lorella_cravotta,Lorella Cravotta,7
29,mapi_galan,Mapi Galán,8
29,nane_germon,Nane Germon,9
29,ticky-holgado,Ticky Holgado,10
34,james_cromwell,James Cromwell,1
34,magda_szubanski,Magda Szubanski,2
34,christine_cavanaugh,Christine Cavanaugh,3
34,miriam_margolyes,Miriam Margolyes,4
34,danny_mann,Danny Mann,5
34,hugo_weaving,Hugo Weaving,6
34,michael_edwardstevens,Michael Edward-Stevens,7
34,jane_alden,Jane Alden,8
34,roscoe_lee_browne,Roscoe Lee Browne,9
34,patrika_darbo,Patrika Darbo,10
41,ian_mckellen,Ian McKellen,1
41,annette_bening,Annette Bening,2
41,jim_broadbent,Jim Broadbent,3
41,robert_downey_jr,Robert Downey Jr.,4
41,nigel_hawthorne,Nigel Hawthorne,5
41,kristin_scott_thomas,Kristin Scott Thomas,6
41,christopher_bowen,Christopher Bowen,7
41,jim_carter,Jim Carter,8
41,michael_elphick,Michael Elphick,9
41,roger_hammond,Roger Hammond,10
44,robin_shou,Robin Shou,1
44,linden_ashby,Linden Ashby,2
44,bridgette_wilson,Bridgette Wilson,3
44,caryhiroyuki_tagawa,Cary-Hiroyuki Tagawa,4
44,christopher_lambert,Christopher Lambert,5
44,talisa_soto,Talisa Soto,6
44,kenneth_edwards,Kenneth Edwards,7
44,john_fujioka,John Fujioka,8
44,trevor_goddard,Trevor Goddard,9
44,sandy-helberg,Sandy Helberg,10
45,bruce_willis,Bruce Willis,1
45,justin_long,Justin Long,2
45,timothy_olyphant,Timothy Olyphant,3
45,cliff_curtis,Cliff Curtis,4
45,maggie_q,Maggie Q,5
45,1167982-mary_elizabeth_winstead,Mary Elizabeth Winstead,6
45,1030366-kevin_smith,Kevin Smith,7
45,yancey_arias,Yancey Arias,8
45,christina_chang,Christina Chang,9
45,yorgo_constantine,Yorgo Constantine,10
47,takashi_shimura,Takashi Shimura,1
47,toshiro_mifune,Toshiro Mifune,2
47,yoshio_inaba,Yoshio Inaba,3
47,seiji_miyaguchi,Seiji Miyaguchi,4
47,minoru_chiaki,Minoru Chiaki,5
47,daisuke_kato,Daisuke Katô,6
47,ko,K.O.,7
47,kuninori_kodo,Kuninori Kodo,8
47,ichiro_chiba,Ichiro Chiba,9
47,kamatari_fujiwara,Kamatari Fujiwara,10
49,pascale_bussieres,Pascale Bussieres,1
49,rachael_crawford,Rachael Crawford,2
49,henry_czerny,Henry Czerny,3
49,david-fox,David Fox,4
49,tracy-wright,Tracy Wright,5
49,don_mckellar,Don McKellar,6
49,richard_w_farrell,Richard W. Farrell,7
49,tom_melissis,Tom Melissis,8
49,jonathan_potts,Jonathan Potts,9
49,stuart_clow,Stuart Clow,10
50,gabriel_byrne,Gabriel Byrne,1
50,stephen_baldwin,Stephen Baldwin,2
50,chazz_palminteri,Chazz Palminteri,3
50,kevin_pollak,Kevin Pollak,4
50,pete_postlethwaite,Pete Postlethwaite,5
50,kevin_spacey,Kevin Spacey,6
50,benicio_del_toro,Benicio Del Toro,7
50,dan_hedaya,Dan Hedaya,8
50,suzy_amis,Suzy Amis,9
50,paul_bartel,Paul Bartel,10
52,woody_allen,Woody Allen,1
52,helena-bonham-carter,Helena Bonham Carter,2
52,mira_sorvino,Mira Sorvino,3
52,michael_rapaport,Michael Rapaport,4
52,f_murray_abraham,F Murray Abraham,5
52,10001530-claire_bloom,Claire Bloom,6
52,pamela_blair,Pamela Blair,7
52,al_cerullo,Al Cerullo,8
52,tony_darrow,Tony Darrow,9
52,george_de_la_pena,George De La Pena,10
53,enrico_lo_verso,Enrico Lo Verso,1
53,michele_placido,Michele Placido,2
53,carmelo-di-mazzarelli,Carmelo Di Mazzarelli,3
53,piro-milkani,Piro Milkani,4
53,elida-janushi,Elida Janushi,5
53,sefer-pema,Sefer Pema,6
53,idajet_sejdia,Idajet Sejdia,7
54,yareli-arizmendi,Yareli Arizmendi,1
54,john_bourg,John Bourg,2
54,olivia_dabo,Olivia d'Abo,3
54,gil-glasgow,Gil Glasgow,4
54,steve_guttenberg,Steve Guttenberg,5
54,nik_hagler,Nik Hagler,6
54,chauncey_leopardi,Chauncey Leopardi,7
54,milt_oberman,Milt Oberman,8
54,patrick_renna,Patrick Renna,9
54,jay_o_sanders,Jay O Sanders,10
55,jane_fonda,Jane Fonda,1
55,lindsay_lohan,Lindsay Lohan,2
55,felicity_huffman,Felicity Huffman,3
55,dermot_mulroney,Dermot Mulroney,4
55,cary_elwes,Cary Elwes,5
55,garrett_hedlund,Garrett Hedlund,6
55,hector_elizondo,Hector Elizondo,7
55,zachary_gordon,Zachary Gordon,8
55,dylan-mclaughlin,Dylan McLaughlin,9
63,shawn_wayans,Shawn Wayans,1
63,marlon_wayans,Marlon Wayans,2
63,tracey_cherelle_jones,Tracey Cherelle Jones,3
63,chris_spencer,Chris Spencer,4
63,suli-mccullough,Suli McCullough,5
63,darrell_m_heath,Darrell M. Heath,6
63,1134439-helen_martin,Helen Martin,7
63,kim_wayans,Kim Wayans,8
63,keenen_ivory_wayans,Keenen Ivory Wayans,9
63,vivica_a_fox,Vivica A. Fox,10
65,pauly_shore,Pauly Shore,1
65,stephen_baldwin,Stephen Baldwin,2
65,william_atherton,William Atherton,3
65,joey_lauren_adams,Joey Lauren Adams,4
65,teresa_hill,Teresa Hill,5
65,henry_gibson,Henry Gibson,6
65,rodger_bumpass,Rodger Bumpass,7
65,denise_dowse,Denise Dowse,8
65,paul_eiding,Paul Eiding,9
65,kyle_gass,Kyle Gass,10
70,george_clooney,George Clooney,1
70,harvey_keitel,Harvey Keitel,2
70,quentin_tarantino,Quentin Tarantino,3
70,juliette_lewis,Juliette Lewis,4
70,cheech_marin,Cheech Marin,5
70,fred_williamson,Fred Williamson,6
70,maria_diaz,Maria Diaz,7
70,aimee_graham,Aimee Graham,8
70,1006729-john_hawkes,John Hawkes,9
70,brenda_hillhouse,Brenda Hillhouse,10
72,will_ferrell,Will Ferrell,1
72,robert_duvall,Robert Duvall,2
72,mike_ditka,Mike Ditka,3
72,kate_walsh,Kate Walsh,4
72,musetta_vander,Musetta Vander,5
72,dylan-mclaughlin,Dylan McLaughlin,6
72,josh_hutcherson,Josh Hutcherson,7
72,steven_anthony,Steven Anthony,8
72,jeremy_bergman,Jeremy Bergman,9
72,elliot_cho,Elliot Cho,10
74,christian_slater,Christian Slater,1
