movieID,directorID,directorName
1,john_lasseter,John Lasseter
3,donald_petrie,Donald Petrie
4,forest_whitaker,Forest Whitaker
6,michael_mann,Michael Mann
7,billy_wilder,Billy Wilder
8,1052316-peter_hewitt,Peter Hewitt
9,peter_hyams,Peter Hyams
14,oliver_stone,Oliver Stone
15,renny_harlin,Renny Harlin
16,martin_scorsese,Martin Scorsese
19,steve_oedekerk,Steve Oedekerk
21,barry_sonnenfeld,Barry Sonnenfeld
22,jon_amiel,Jon Amiel
24,victor_salva,Victor Salva
25,mike_figgis,Mike Figgis
26,oliver_parker,Oliver Parker
28,roger_michell,Roger Michell
29,jeanpierre_jeunet,Jean-Pierre Jeunet
34,chris_noonan,Chris Noonan
41,richard_loncraine,Richard Loncraine
44,paul_anderson,Paul W.S. Anderson
45,len_wiseman,Len Wiseman
47,akira_kurosawa,Akira Kurosawa
49,patricia_rozema,Patricia Rozema
50,bryan_singer,Bryan Singer
52,woody_allen,Woody Allen
53,gianni_amelio,Gianni Amelio
54,holly_goldberg_sloan,Holly Goldberg Sloan
55,garry_marshall,Garry Marshall
63,paris-barclay,Paris Barclay
65,jason_bloom,Jason Bloom
70,robert_rodriguez,Robert Rodriguez
72,jesse_dylan,Jesse Dylan
74,michael_goldenberg,Michael Goldenberg
75,steve_miner,Steve Miner
76,christian_duguay,Christian Duguay
77,susanne_ofteringer,Susanne Ofteringer
82,marleen_gorris,Marleen Gorris
85,philip_haas,Philip Haas
86,director-ridley-scott,Director Ridley Scott
87,ken_kwapis,Ken Kwapis
90,john_duigan,John Duigan
92,stephen_frears,Stephen Frears
93,wes_craven,Wes Craven
95,john_woo,John Woo
96,kenneth_branagh,Kenneth Branagh
97,mathieu_kassovitz,Mathieu Kassovitz
100,harold_becker,Harold Becker
102,1040953-nick_castle,Nick Castle
103,john_dahl,John Dahl
104,dennis_dugan,Dennis Dugan
110,mel_gibson,Mel Gibson
111,martin_scorsese,Martin Scorsese
112,stanley_tong,Stanley Tong
113,barbet_schroeder,Barbet Schroeder
114,mort_ransen,Mort Ransen
116,john_blair,John Blair
118,eric_schaeffer,Eric Schaeffer
119,1022918-andrew_davis,Andrew Davis
120,charles_t_kanganis,Charles T. Kanganis
121,john_n_smith,John N. Smith
124,guiseppe_tornatore,Giuseppe Tornatore
131,michael_lindsayhogg,Michael Lindsay-Hogg
137,barry_levinson,Barry Levinson
139,john_woo,John Woo
141,mike_nichols,Mike Nichols
145,michael_bay,Michael Bay
146,christopher_cain,Christopher Cain
148,mike_newell,Mike Newell
150,ron_howard,Ron Howard
155,john_boorman,John Boorman
156,paul_auster,Paul Auster
157,1055159-michael_moore,Michael Moore
158,brad_silberling,Brad Silberling
159,spike_lee,Spike Lee
160,frank_marshall,Frank Marshall
161,tony_scott,Tony Scott
164,carl_franklin,Carl Franklin
170,iain_softley,Iain Softley
171,christopher-ashley,Christopher Ashley
175,1176587-larry_clark,Larry Clark
176,tom_dicillo,Tom DiCillo
178,denys_arcand,Denys Arcand
180,1030366-kevin_smith,Kevin Smith
181,bryan_spicer,Bryan Spicer
182,david_anspaugh,David Anspaugh
183,anthony_waller,Anthony Waller
186,chris_columbus,Chris Columbus
187,daisy_von_scherler_mayer,Daisy von Scherler Mayer
188,gregory_widen,Gregory Widen
190,sidney_lumet,Sidney Lumet
191,roland_joffe,Roland Joffé
196,roger_donaldson,Roger Donaldson
198,kathryn_bigelow,Kathryn Bigelow
199,jacques_demy,Jacques Demy
201,martha_coolidge,Martha Coolidge
202,agnieszka_holland,Agnieszka Holland
203,beeban_kidron,Beeban Kidron
204,geoff_murphy,Geoff Murphy
205,diane_keaton,Diane Keaton
206,douglas-keeve,Douglas Keeve
207,alfonso_arau,Alfonso Arau
208,kevin_reynolds,Kevin Reynolds
213,nikita_mikhalkov,Nikita Mikhalkov
216,tamra_davis,Tamra Davis
217,1013435-david_ross,David Ross
218,herbert_ross,Herbert Ross
222,pat_oconnor,Pat O'Connor
223,1030366-kevin_smith,Kevin Smith
224,jeremy_leven,Jeremy Leven
225,barry_levinson,Barry Levinson
226,francis_ford_coppola,Francis Ford Coppola
228,jack_baran,Jack Baran
229,roman_polanski,Roman Polanski
230,taylor_hackford,Taylor Hackford
232,ang_lee,Ang Lee
233,atom_egoyan,Atom Egoyan
234,garry_marshall,Garry Marshall
241,carlo_carlei,Carlo Carlei
242,gerard_corbiau,Gérard Corbiau
243,mike_hodges,Mike Hodges
248,randall_miller,Randall Miller
251,william_friedkin,William Friedkin
254,james_ivory,James Ivory
256,ivan_reitman,Ivan Reitman
257,arne_glimcher,Arne Glimcher
259,barbet_schroeder,Barbet Schroeder
262,alfonso_cuaron,Alfonso Cuarón
263,ken_loach,Ken Loach
265,alfonso_arau,Alfonso Arau
267,1040953-nick_castle,Nick Castle
268,james_gray,James Gray
270,glenn_gordon_caron,Glenn Gordon Caron
271,stephen_gyllenhaal,Stephen Gyllenhaal
272,nicholas_hytner,Nicholas Hytner
274,stephen_herek,Stephen Herek
276,richard_benjamin,Richard Benjamin
277,george_seaton,George Seaton
282,michael_apted,Michael Apted
283,1196862-nick_gomez,Nick Gomez
287,1046415-alan_jacobs,Alan Jacobs
288,oliver_stone,Oliver Stone
289,norman_jewison,Norman Jewison
290,lee_tamahori,Lee Tamahori
291,anne_goursaud,Anne Goursaud
292,wolfgang_petersen,Wolfgang Petersen
293,luc_besson,Luc Besson
294,mira_nair,Mira Nair
296,quentin_tarantino,Quentin Tarantino
297,harald_zwart,Harald Zwart
301,kayo-hatta,Kayo Hatta
302,patrice_chereau,Patrice Chéreau
305,robert_altman,Robert Altman
307,krzysztof_kieslowski,Krzysztof Kieslowski
308,krzysztof_kieslowski,Krzysztof Kieslowski
313,richard_rich,Richard Rich
314,john_sayles,John Sayles
315,luis_llosa,Luis Llosa
316,roland_emmerich,Roland Emmerich
317,jeannot_szwarc,Jeannot Szwarc
318,frank_darabont,Frank Darabont
320,scott_mcgehee,Scott McGehee
321,tomas_gutierrez_alea,Tomás Gutiérrez Alea
326,zhang_yimou,Yimou Zhang
327,rachel_talalay,Rachel Talalay
330,rusty_cundieff,Rusty Cundieff
332,1040928-john_carpenter,John Carpenter
333,peter_segal,Peter Segal
334,louis_malle,Louis Malle
338,brett_leonard,Brett Leonard
341,mina_shum,Mina Shum
346,iain_softley,Iain Softley
347,roman_polanski,Roman Polanski
348,woody_allen,Woody Allen
350,joel_schumacher,Joel Schumacher
352,spike_lee,Spike Lee
356,robert_zemeckis,Robert Zemeckis
358,john_singleton,John Singleton
361,andrew_bergman,Andrew Bergman
362,wolfgang_reitherman,Wolfgang Reitherman
364,rob_minkoff,Rob Minkoff
365,bernardo_bertolucci,Bernardo Bertolucci
367,chuck_russell,Chuck Russell
370,peter_segal,Peter Segal
375,robert_allan_ackerman,Robert Allan Ackerman
377,jan_de_bont,Jan de Bont
378,ron_underwood,Ron Underwood
380,james_cameron,James Cameron
384,joel_schumacher,Joel Schumacher
387,keenen_ivory_wayans,Keenen Ivory Wayans
388,michael_catonjones,Michael Caton-Jones
393,steven_e_de_souza,Steven E. de Souza
394,richard_brooks_i,Richard Brooks I
398,theodore_thomas,Theodore Thomas
407,1040928-john_carpenter,John Carpenter
408,john_g_avildsen,John G. Avildsen
409,jeff_pollack,Jeff Pollack
410,barry_sonnenfeld,Barry Sonnenfeld
413,michael_lehmann,Michael Lehmann
415,john_badham,John Badham
416,jonathan_kaplan,Jonathan Kaplan
417,woody_allen,Woody Allen
419,penelope_spheeris,Penelope Spheeris
423,stephen_hopkins,Stephen Hopkins
425,tony_richardson,Tony Richardson
427,jennifer-lynch,Jennifer Chambers Lynch
431,brian_de_palma,Brian DePalma
432,paul_weiland,Paul Weiland
433,mick_jackson,Mick Jackson
436,richard_rush,Richard Rush
437,michael_ritchie,Michael Ritchie
438,gregg_champion,Gregg Champion
441,richard_linklater,Richard Linklater
443,bruce_brown,Bruce Brown
444,gus_van_sant,Gus Van Sant
447,donald_petrie,Donald Petrie
454,sydney_pollack,Sydney Pollack
457,1022918-andrew_davis,Andrew Davis
460,howard_deutch,Howard Deutch
462,bruce_beresford,Bruce Beresford
463,sidney_lumet,Sidney Lumet
471,joel_coen,Joel Coen
475,jim_sheridan,Jim Sheridan
476,matty-rich,Matty Rich
477,brian_gibson,Brian Gibson
478,barry_levinson,Barry Levinson
479,stephen_hopkins,Stephen Hopkins
481,dominic_sena,Dominic Sena
482,roger_avary,Roger Avary
483,steven_soderbergh,Steven Soderbergh
484,daniel_petrie,Daniel Petrie
486,james_lapine,James Lapine
489,jrichard_benjamin,JRichard Benjamin
491,mel_gibson,Mel Gibson
495,nagisa_oshima,Nagisa Oshima
497,kenneth_branagh,Kenneth Branagh
498,mike_figgis,Mike Figgis
499,anthony_minghella,Anthony Minghella
500,chris_columbus,Chris Columbus
503,michael_tolkin,Michael Tolkin
504,martin_campbell,Martin Campbell
505,rob_reiner,Rob Reiner
510,john_singleton,John Singleton
511,david_s_ward,David S. Ward
515,james_ivory,James Ivory
516,penny_marshall,Penny Marshall
517,philip_kaufman,Philip Kaufman
518,1042742-alan_parker,Alan Parker
519,fred_dekker,Fred Dekker
520,mel_brooks,Mel Brooks
522,geoffrey_wright,Geoffrey Wright
523,victor_nunez,Victor Nunez
524,david_anspaugh,David Anspaugh
527,steven_spielberg,Steven Spielberg
528,tony_scott,Tony Scott
529,steven_zaillian,Steven Zaillian
531,agnieszka_holland,Agnieszka Holland
533,akira_kurosawa,Akira Kurosawa
534,richard_attenborough,Richard Attenborough
535,robert_altman,Robert Altman
536,gillies-mackinnon,Gillies MacKinnon
538,fred_schepisi,Fred Schepisi
539,nora_ephron,Nora Ephron
542,steve_rash,Steve Rash
543,thomas_schlamme,Thomas Schlamme
544,rowdy_herrington,Rowdy Herrington
549,francois_girard,François Girard
550,andrew_fleming,Andrew Fleming
556,stanley_kubrick,Stanley Kubrick
559,julie_delpy,Julie Delpy
563,claude_berri,Claude Berri
564,hongjin_na,Hong-jin Na
566,daniel_algrant,Daniel Algrant
567,pedro_almodovar,Pedro Almodóvar
570,ake-sandgren,Åke Sandgren
573,lina-wertmuller,Lina Wertmüller
574,david_o_russell,David O. Russell
577,1042523-george_miller,George Miller
580,michael_austin,Michael Austin
581,jeffrey_friedman,Jeffrey Friedman
583,nanni_moretti,Nanni Moretti
585,betty_thomas,Betty Thomas
589,james_cameron,James Cameron
590,kevin_costner,Kevin Costner
592,leslie_h_martinson,Leslie H. Martinson
593,jonathan_demme,Jonathan Demme
596,ben_sharpsteen,Ben Sharpsteen
597,garry_marshall,Garry Marshall
598,yuri_mamin,Yuri Mamin
599,sam_peckinpah,Sam Peckinpah
600,cm-talkington,C.M. Talkington
603,sam_weisman,Sam Weisman
605,michael_hoffman,Michael Hoffman
609,david_r_ellis,David R. Ellis
610,gerald_potterton,Gerald Potterton
616,wolfgang_reitherman,Wolfgang Reitherman
621,andre_techine,Andre Techine
626,martin_lawrence,Martin Lawrence
628,gregory_hoblit,Gregory Hoblit
635,richard_pearce,Richard Pearce
637,jonathan_lynn,Jonathan Lynn
638,tim_sullivan_iii,Tim Sullivan (III)
645,claude_sautet,Claude Sautet
647,edward_zwick,Edward Zwick
648,jj_abrams,J.J. Abrams
649,fridrik_thor_fridriksson,Fridrik Thor Fridriksson
650,pen_densham,Pen Densham
652,cheolsu-park,Cheol-su Park
656,walter_hill,Walter Hill
659,rene_clement,René Clément
660,kirsten_sheridan,Kirsten Sheridan
661,henry_selick,Henry Selick
662,james_foley,James Foley
663,kelly_makin,Kelly Makin
665,emir_kusturica,Emir Kusturica
668,satyajit_ray,Satyajit Ray
670,satyajit_ray,Satyajit Ray
671,jim_mallon,Jim Mallon
674,roger_vadim,Roger Vadim
681,bertrand_tavernier,Bertrand Tavernier
688,simon_wincer,Simon Wincer
690,margarethe_von_trotta,Margarethe von Trotta
691,richard_benjamin,Richard Benjamin
692,norberto_barba,Norberto Barba
694,robert_mandel,Robert Mandel
695,clint_eastwood,Clint Eastwood
696,michael_winterbottom,Michael Winterbottom
697,steven-baigelman,Steven Baigelman
703,john_crowley,John Crowley
704,dean_parisot,Dean Parisot
709,george_scribner,George Scribner
710,tom_decerchio,Tom DeCerchio
712,chantal_akerman,Chantal Akerman
715,jeanpaul_rappeneau,Jean-Paul Rappeneau
716,jack_hill,Jack Hill
717,manuel_gomez_pereira,Manuel Gomez Pereira
719,harold_ramis,Harold Ramis
729,brothers_quay,Brothers Quay
731,phil_joanou,Phil Joanou
733,michael_bay,Michael Bay
735,michele_soavi,Michele Soavi
741,mamoru_oshii,Mamoru Oshii
743,rick_friedberg,Rick Friedberg
745,nick_park,Nick Park
748,david_twohy,David Twohy
751,guy_maddin,Guy Maddin
753,john_irvin,John Irvin
755,victor_saville,Victor Saville
756,helena_solberg,Helena Solberg
757,karwai-wong,Kar Wai Wong
762,andrew_bergman,Andrew Bergman
765,francis_ford_coppola,Francis Ford Coppola
766,mary_harron,Mary Harron
771,ari_libsker,Ari Libsker
775,federico_fellini,Federico Fellini
778,danny_boyle,Danny Boyle
779,scott_winant,Scott Winant
780,roland_emmerich,Roland Emmerich
782,tony_scott,Tony Scott
783,william_dieterle,William Dieterle
788,tom_shadyac,Tom Shadyac
793,gerard_mordillat,Gerard Mordillat
798,rob_cohen,Rob Cohen
801,bronwen_hughes,Bronwen Hughes
