id,title,year,criticsRating,pictureURL
2433,A Civil Action,1998,6.4,http://content6.flixster.com/movie/25/60/256024_det.jpg
4217,4 Little Girls,1997,8.4,http://content7.flixster.com/movie/29/22/292201_det.jpg
476,The Inkwell,1994,5.0,http://content9.flixster.com/movie/27/42/274219_det.jpg
6822,The Ballad of Little Jo,1993,5.8,http://content7.flixster.com/movie/10/86/73/10867305_det.gif
1258,The Shining,1980,7.8,http://content8.flixster.com/movie/10/92/96/10929678_det.jpg
44397,The Hills Have Eyes,2006,5.3,http://content9.flixster.com/movie/10/91/33/10913327_det.jpg
6301,Straw Dogs,1971,8.4,http://content8.flixster.com/movie/28/26/282610_det.jpg
26599,La ley del deseo,1987,7.4,http://content6.flixster.com/movie/19/57/58/1957584_det.jpg
7029,Rabid,1977,5.8,http://content6.flixster.com/movie/28/50/285000_det.jpg
48567,Public Enemies,2009,6.4,http://content9.flixster.com/movie/11/15/34/11153475_det.jpg
40614,Derailed,2005,4.6,http://content6.flixster.com/movie/25/05/250504_det.jpg
6999,HouseSitter,1992,5.1,http://content6.flixster.com/movie/95/33/72/9533720_det.jpg
2968,Time Bandits,1981,8.0,http://content6.flixster.com/movie/26/30/263020_det.jpg
25833,Camille,1936,7.3,http://content6.flixster.com/movie/10/95/41/10954112_det.jpg
8710,Map of the Human Heart,1993,6.8,http://content8.flixster.com/movie/10/90/03/10900366_det.jpg
3141,The Two Jakes,1990,5.4,http://content7.flixster.com/movie/10/89/74/10897421_det.jpg
1343,Cape Fear,1991,6.9,http://content9.flixster.com/movie/10/93/72/10937223_det.jpg
4468,Apartment Zero,1988,6.9,http://content8.flixster.com/movie/23/12/83/2312830_det.jpg
2117,Nineteen Eighty-Four,1984,6.4,http://content7.flixster.com/movie/10/88/05/10880581_det.jpg
4869,Plata quemada,2000,6.5,http://content6.flixster.com/movie/10/86/91/10869148_det.jpg
59339,Mister Lonely,2007,5.2,http://content7.flixster.com/movie/83/04/13/8304133_det.jpg
7827,Cypher,2002,6.3,http://content9.flixster.com/movie/27/32/273203_det.jpg
5812,Far from Heaven,2002,8.1,http://content6.flixster.com/movie/10/87/46/10874600_det.jpg
3694,The Toxic Avenger Part II,1989,2.7,http://content8.flixster.com/movie/10/93/48/10934826_det.jpg
2615,My Science Project,1985,3.2,http://content8.flixster.com/movie/26/60/266022_det.jpg
3566,The Big Kahuna,1999,6.4,http://content7.flixster.com/movie/28/12/281217_det.jpg
1490,B*A*P*S,1997,3.0,http://content6.flixster.com/movie/10/84/83/10848328_det.jpg
47,Shichinin no samurai,1954,9.2,http://content7.flixster.com/movie/39/91/08/3991085_det.jpg
52448,Goya's Ghosts,2006,4.8,http://content6.flixster.com/movie/87/30/61/8730616_det.jpg
5709,The Moguls,2005,3.9,http://content7.flixster.com/movie/11/13/35/11133545_det.jpg
4339,Von Ryan's Express,1965,6.8,http://content9.flixster.com/movie/25/78/257811_det.jpg
32022,Gunner Palace,2004,7.0,http://content9.flixster.com/movie/25/53/255315_det.jpg
8014,Bom yeoreum gaeul gyeoul geurigo bom,2003,8.1,http://content6.flixster.com/movie/26/79/267996_det.jpg
4748,3 Ninjas,1992,3.4,http://content8.flixster.com/movie/10/88/99/10889982_det.jpg
243,Flash Gordon,1980,6.3,http://content7.flixster.com/movie/25/73/257321_det.jpg
3987,Bounce,2000,5.5,http://content9.flixster.com/movie/10/84/58/10845867_det.jpg
2765,The Acid House,1998,5.8,http://content8.flixster.com/movie/28/89/288918_det.jpg
5634,Pipe Dream,2002,6.4,http://content7.flixster.com/movie/28/47/284797_det.jpg
3692,Class of Nuke 'Em High,1986,4.2,http://content8.flixster.com/movie/10/89/54/10895446_det.jpg
7065,The Birth of a Nation,1915,8.0,http://content9.flixster.com/movie/10/88/58/10885819_det.jpg
33644,Dominion: Prequel to the Exorcist,2005,4.7,http://content6.flixster.com/movie/55/37/56/5537560_det.jpg
8814,Without a Paddle,2004,3.9,http://content8.flixster.com/movie/10/86/39/10863910_det.jpg
4082,Barfly,1987,6.6,http://content7.flixster.com/movie/28/21/282193_det.jpg
6254,The Awful Truth,1937,8.0,http://content7.flixster.com/movie/29/39/293993_det.jpg
8798,Collateral,2004,7.4,http://content6.flixster.com/movie/10/93/72/10937228_det.jpg
6763,Duplex,2003,5.0,http://content6.flixster.com/movie/10/87/48/10874864_det.jpg
8740,Donzoko,1957,8.2,http://content6.flixster.com/movie/98/44/32/9844320_det.jpg
26225,Le genou de Claire,1970,8.4,http://content8.flixster.com/movie/10/88/70/10887066_det.jpg
27846,The Corporation,2003,7.4,http://content7.flixster.com/movie/10/93/78/10937865_det.jpg
7645,Iron & Silk,1990,6.3,http://content7.flixster.com/movie/10/96/28/10962869_det.jpg
62299,Alone in the Dark,2005,1.7,http://content6.flixster.com/movie/10/92/96/10929640_det.jpg
330,Tales from the Hood,1995,4.3,http://content9.flixster.com/movie/27/30/273091_det.jpg
6830,Sudden Fear,1952,6.8,http://content7.flixster.com/movie/30/00/300017_det.jpg
4388,Scary Movie 2,2001,3.3,http://content8.flixster.com/movie/26/77/267706_det.jpg
1770,B. Monkey,1998,5.6,http://content6.flixster.com/movie/27/29/272908_det.jpg
42011,Fun with Dick and Jane,2005,4.9,http://content8.flixster.com/movie/31/17/311794_det.jpg
3995,Boys Life 3,2000,5.4,http://content8.flixster.com/movie/10/88/59/10885982_det.jpg
45679,The Seventh Victim,1943,7.4,http://content8.flixster.com/movie/10/83/91/10839154_det.jpg
542,Son in Law,1993,3.8,http://content8.flixster.com/movie/25/67/256726_det.jpg
3261,Singles,1992,6.9,http://content6.flixster.com/movie/25/53/255312_det.jpg
1,Toy story,1995,9.0,http://content7.flixster.com/movie/10/93/63/10936393_det.jpg
50149,Happily N'Ever After,2007,3.0,http://content7.flixster.com/movie/32/90/16/3290161_det.jpg
8587,Mayor of the Sunset Strip,2003,7.4,http://content9.flixster.com/movie/10/87/78/10877875_det.jpg
4945,The Enforcer,1976,6.3,http://content8.flixster.com/movie/27/65/276594_det.jpg
6002,Love Liza,2002,5.9,http://content6.flixster.com/movie/27/52/275292_det.jpg
2806,Teaching Mrs. Tingle,1999,4.0,http://content8.flixster.com/movie/26/66/266698_det.jpg
8785,Bakushû,1951,8.8,http://content7.flixster.com/movie/29/98/299897_det.jpg
4925,The Cheap Detective,1978,5.7,http://content9.flixster.com/movie/26/13/261395_det.jpg
6066,Murder by Decree,1979,6.9,http://content6.flixster.com/movie/25/92/259200_det.jpg
48516,The Departed,2006,8.2,http://content9.flixster.com/movie/10/93/80/10938015_det.jpg
8381,For Me and My Gal,1942,7.6,http://content6.flixster.com/movie/10/90/35/10903596_det.jpg
1573,Face/Off,1997,7.9,http://content8.flixster.com/movie/10/85/08/10850854_det.jpg
3985,The Eagle Has Landed,1976,6.5,http://content9.flixster.com/movie/25/80/258095_det.jpg
61816,Import/Export,2007,6.9,http://content8.flixster.com/movie/10/28/81/10288134_det.jpg
7320,Dirty Dancing: Havana Nights,2004,4.3,http://content7.flixster.com/movie/10/91/46/10914657_det.jpg
3222,U-Carmen e-Khayelitsha,2005,7.4,http://content7.flixster.com/movie/33/19/82/3319829_det.jpg
6747,The Adventures of Huck Finn,1993,5.9,http://content7.flixster.com/movie/25/77/257717_det.jpg
2101,Squanto: A Warrior's Tale,1994,5.6,http://content6.flixster.com/movie/26/18/261816_det.jpg
60939,Swing Vote,2008,5.1,http://content8.flixster.com/movie/10/92/09/10920934_det.jpg
40969,First Descent,2005,5.7,http://content6.flixster.com/movie/11/14/69/11146940_det.jpg
34499,The Heart Is Deceitful Above All Things,2004,5.0,http://content6.flixster.com/movie/59/62/13/5962136_det.jpg
2709,Muppets from Space,1999,6.2,http://content7.flixster.com/movie/10/87/15/10871517_det.jpg
2048,The Great Mouse Detective,1986,6.8,http://content9.flixster.com/movie/25/12/251227_det.jpg
3163,Topsy-Turvy,1999,7.8,http://content9.flixster.com/movie/10/93/39/10933955_det.jpg
7127,Run Fatboy Run,2007,5.5,http://content7.flixster.com/movie/10/86/16/10861685_det.jpg
4516,Johnny Be Good,1988,2.3,http://content7.flixster.com/movie/28/09/280909_det.jpg
3286,Snow Day,2000,4.2,http://content6.flixster.com/movie/10/88/66/10886640_det.jpg
902,Breakfast at Tiffany's,1961,7.4,http://content9.flixster.com/movie/28/57/285711_det.jpg
5615,Invincible,2006,6.4,http://content9.flixster.com/movie/21/92/35/2192351_det.jpg
3905,The Specials,2000,5.1,http://content9.flixster.com/movie/28/20/282091_det.jpg
1779,Sphere,1998,4.0,http://content8.flixster.com/movie/25/90/259018_det.jpg
4862,Not Without My Daughter,1991,4.9,http://content9.flixster.com/movie/10/92/22/10922283_det.jpg
3386,JFK,1991,7.5,http://content7.flixster.com/movie/10/93/59/10935981_det.jpg
3093,McCabe & Mrs. Miller,1971,8.4,http://content7.flixster.com/movie/26/96/269601_det.jpg
6666,Le charme discret de la bourgeoisie,1972,8.4,http://content9.flixster.com/movie/10/93/75/10937587_det.jpg
25891,Heaven Can Wait,1943,7.8,http://content6.flixster.com/movie/28/70/287004_det.jpg
5014,I Am Sam,2001,4.6,http://content9.flixster.com/movie/10/09/07/10090791_det.jpg
33499,Monster-in-Law,2005,4.2,http://content8.flixster.com/movie/10/93/78/10937826_det.jpg
3865,The Original Kings of Comedy,2000,6.9,http://content7.flixster.com/movie/11/14/72/11147213_det.jpg
1164,2 ou 3 choses que je sais d'elle,1967,8.0,http://content9.flixster.com/movie/55/83/45/5583455_det.jpg
1735,Great Expectations,1998,5.4,http://content6.flixster.com/movie/26/88/268896_det.jpg
2340,Meet Joe Black,1998,5.6,http://content6.flixster.com/movie/26/64/266412_det.jpg
3115,Flawless,2007,5.7,http://content6.flixster.com/movie/10/87/72/10877212_det.jpg
1913,Picnic at Hanging Rock,1975,8.3,http://content9.flixster.com/movie/25/96/259615_det.jpg
7148,Love Don't Cost a Thing,2003,3.7,http://content8.flixster.com/movie/55/28/29/5528294_det.jpg
